geolocation_lat_cus,geolocation_lng_cus,jour_depart,jour_arriver
-20.498488755380297,-47.39692948590099,1,0
-23.58422109515566,-46.67405282915946,2,1
-23.560948576672736,-46.6884223318783,0,2
-23.529819075625554,-46.46178303972399,2,1
-25.517958758362607,-49.24132226836768,2,0
-2.5022203586167415,-44.29231416668532,1,0
-19.96167766088841,-43.41034926077615,3,1
-19.96712946022024,-43.939935749372026,1,2
-25.54721632285039,-49.14967895716365,1,3
-23.212886071407148,-44.70778007705102,1,3
-31.762679492581864,-52.33833548608869,3,5
-23.176397106134782,-46.97415662176981,2,2
-23.176397106134782,-46.97415662176981,4,5
-23.967496128452172,-46.38645459810866,0,0
-18.92408019816437,-48.24926718659152,4,2
-23.51001559627656,-46.528862342759886,2,1
-12.670246382541526,-39.1032774673989,4,3
-22.407672873089926,-43.667689767440216,3,3
-22.407672873089926,-43.667689767440216,3,3
-22.407672873089926,-43.667689767440216,3,3
-22.407672873089926,-43.667689767440216,3,3
-22.01692709785905,-47.874570588640594,1,0
-20.1403596878013,-44.88407963221903,4,4
-23.573100861060343,-46.415395875191365,3,1
-20.81912074784063,-49.379027917410916,1,0
-20.58575139010545,-47.86369318816474,0,0
-23.965227243543826,-46.343581343498315,2,2
-23.965227243543826,-46.343581343498315,4,1
-23.965227243543826,-46.343581343498315,1,4
-23.983786906789266,-46.24074680750368,0,5
-23.983786906789266,-46.24074680750368,0,5
-23.983786906789266,-46.24074680750368,0,5
-19.499290040031873,-42.547175325981776,0,2
-26.888954863561988,-49.10210453576227,4,0
-20.786662976699212,-49.35932711127301,5,2
-23.157994972014645,-46.91819985268586,4,3
-22.923671061854968,-43.27951061325531,0,3
-22.923671061854968,-43.27951061325531,4,2
-22.923671061854968,-43.27951061325531,4,2
-22.38575636630497,-41.775706790583456,3,1
-22.919337655136705,-43.21247470976232,5,1
-20.34503019579623,-40.28790374199651,2,0
-30.01552834486621,-51.16270825237459,4,1
-23.009474979914717,-43.33453004891502,3,3
-23.009474979914717,-43.33453004891502,4,1
-22.90324481661883,-43.10702359822047,1,2
-22.90324481661883,-43.10702359822047,2,4
-11.526620416050065,-61.014742629135895,3,2
-23.695232275686898,-46.5975993029514,3,5
-24.182710298995627,-46.80183859998844,4,4
-21.117760548690047,-42.94287086370393,4,1
-23.651573144940986,-46.602681831763704,2,4
-22.53320113902048,-55.724382663190354,0,0
-23.46026607558329,-46.51550518209167,0,4
-20.295230582503745,-42.34449672852931,1,5
-23.53631040591802,-46.65711200863415,2,0
-23.53631040591802,-46.65711200863415,1,1
-12.969658191018029,-38.43468398606585,3,1
-19.807239918783953,-43.962213207135285,0,2
-19.807239918783953,-43.962213207135285,0,0
-22.862780471644363,-43.78526762819196,0,3
-23.641860793712077,-46.5007280723824,1,4
-26.89066585414966,-48.655328387093974,0,2
-28.27075286645486,-52.54089769848732,3,2
-20.252688293692472,-42.040598534498436,2,3
-20.252688293692472,-42.040598534498436,1,1
-22.80431496230765,-47.205963160895436,4,5
-19.87782692209869,-43.99542142919066,1,5
-23.62345398420194,-46.553039562714595,4,1
-21.693370826873444,-45.25976867138688,2,4
-29.68780422662314,-51.46796398824515,3,1
-16.023821140278326,-49.800356385179654,4,1
-21.483488699983006,-47.368650634851434,2,2
-23.704427404926463,-46.57017710285879,0,4
-21.689599539885645,-49.74510895753004,1,3
-23.61922208810035,-46.77404660201641,1,0
-23.621542891813732,-46.57510268453868,0,3
-22.571207861628324,-47.16576876873311,1,0
-19.935486917207534,-43.966849717804415,1,1
-22.28303811019069,-42.538118960966464,3,1
-22.91679214318689,-43.231550399129105,2,3
-20.41006048815079,-42.8988169074569,1,3
-16.361253921121993,-49.4971427858531,0,1
-17.224179023999792,-46.874264632410146,0,4
-17.224179023999792,-46.874264632410146,0,0
-23.511511562483932,-46.4842937005647,0,4
-21.285250800629193,-50.319039692882875,1,1
-23.566292989796683,-46.787821372127006,4,4
-23.003656668384018,-43.34075885321381,4,2
-22.98408240878213,-43.44889019919414,2,4
-22.98408240878213,-43.44889019919414,1,2
-22.98408240878213,-43.44889019919414,1,2
-22.98408240878213,-43.44889019919414,1,2
-23.580554136002807,-46.6911213685405,2,1
-23.54463979204469,-46.32694579681152,1,2
-22.947502549436845,-43.33814210193204,1,1
-22.947502549436845,-43.33814210193204,4,2
-11.504137772643931,-54.875626404244,0,2
